copart_title_code,english_description,proposed_title_category,risk_flags,source_process_recommended,rows_in_snapshot,mapped
LC,Salvage Certificate - Lemon/Manufacturer Buyback,SALVAGE,LEMON_MANUFACTURER_BUYBACK,true,2,true
LH,UNMAPPED_SOURCE_CODE,OTHER_UNVERIFIED,,,2,false
LL,Salvage Certificate - Leased Vehicle,SALVAGE,,true,5,true
LP,Salvage Certificate - Personal Use,SALVAGE,,true,2,true
LQ,Salvage Certificate - Lease/Rental,SALVAGE,,true,25,true
LR,UNMAPPED_SOURCE_CODE,OTHER_UNVERIFIED,,,2,false
LS,Salvage Certificate - Stolen/Recovered,SALVAGE,THEFT,true,421,true
LU,Salvage Certificate - Unknown,SALVAGE,STATE_VERIFICATION_REQUIRED,true,34,true
MB,Salvage Certificate - Manufacturer Buyback,SALVAGE,LEMON_MANUFACTURER_BUYBACK,true,13,true
MF,Salvage Certificate - Fire/Flood,SALVAGE,WATER_FLOOD|FIRE,true,0,true
MP,UNMAPPED_SOURCE_CODE,OTHER_UNVERIFIED,,,2,false
MR,Salvage Certificate - Rebuilt,REBUILT_RECONSTRUCTED,,true,1,true
MS,Salvage Certificate - Storm Damage,SALVAGE,,true,13,true
MT,Salvage Certificate - Mechanical/Transmission,SALVAGE,MECHANICAL,true,4,true
MU,Salvage Certificate - Manufacturer Warranty,SALVAGE,,true,2,true
NB,Salvage Certificate - New Body,SALVAGE,,true,63,true
NF,Salvage Certificate - Non-Repairable,NON_REPAIRABLE_PARTS_SCRAP,,true,60,true
NH,Salvage Certificate - Theft Recovery,SALVAGE,THEFT,true,17,true
NQ,Salvage Certificate - Non-Repairable/Crash,NON_REPAIRABLE_PARTS_SCRAP,,true,6,true
NR,Salvage Certificate - Repairable,SALVAGE,,true,571,true
NS,Salvage Certificate - Stolen,SALVAGE,THEFT,true,3,true
NT,Salvage Certificate - Theft/Vandalism,SALVAGE,THEFT,true,79,true
NU,Salvage Certificate - Non-Repairable/Unibody,NON_REPAIRABLE_PARTS_SCRAP,STRUCTURAL_FRAME_UNIBODY,true,885,true
NX,Salvage Certificate - Salvage/Total Loss,SALVAGE,,true,223,true
OA,Salvage Certificate - Off-Road Vehicle,SALVAGE,,true,28,true
OH,Salvage Certificate - Overhauled,REBUILT_RECONSTRUCTED,,true,2,true
ON,UNMAPPED_SOURCE_CODE,OTHER_UNVERIFIED,,,4,false
OS,Salvage Certificate - Out of State,SALVAGE,STATE_VERIFICATION_REQUIRED,true,19,true
OT,Salvage Certificate - Odometer Tampered,SALVAGE,ODOMETER,true,19,true
PA,UNMAPPED_SOURCE_CODE,OTHER_UNVERIFIED,,,1,false
PB,Salvage Certificate - Police Buyback,SALVAGE,,true,0,true
PC,Salvage Certificate - Parts/Crushed,NON_REPAIRABLE_PARTS_SCRAP,,true,10,true
PD,Salvage Certificate - Damaged/Repairable,SALVAGE,,true,0,true
PF,UNMAPPED_SOURCE_CODE,OTHER_UNVERIFIED,,,1,false
PL,Salvage Certificate - Leased Vehicle,SALVAGE,,true,40,true
PN,Salvage Certificate - Personal,SALVAGE,,true,8,true
PO,Salvage Certificate - Police Auction,SALVAGE,,true,786,true
PP,Salvage Certificate - Parts/Project,SALVAGE,,true,8,true
PR,UNMAPPED_SOURCE_CODE,OTHER_UNVERIFIED,,,2,false
PS,Salvage Certificate - Parts/Scrap,NON_REPAIRABLE_PARTS_SCRAP,,true,1250,true
PT,Salvage Certificate - Project,SALVAGE,,true,6,true
PV,Salvage Certificate - Parts/Valued,SALVAGE,,true,6,true
PX,Salvage Certificate - Parts/Unknown,SALVAGE,STATE_VERIFICATION_REQUIRED,true,140,true
R1,Salvage Certificate - Rebuilt/Repaired,REBUILT_RECONSTRUCTED,,true,116,true
R2,Salvage Certificate - Restored,REBUILT_RECONSTRUCTED,,true,13,true
RA,Salvage Certificate - Repairable/Restorable,SALVAGE,,true,23,true
RB,Salvage Certificate - Restored/Builder,REBUILT_RECONSTRUCTED,,true,3825,true
RC,Salvage Certificate - Rusty/Corroded,SALVAGE,,true,95,true
RD,Salvage Certificate - Rebuilt/Damaged,REBUILT_RECONSTRUCTED,,true,20,true
RF,Salvage Certificate - Flood/Rebuildable,SALVAGE,WATER_FLOOD,true,27,true
RG,Salvage Certificate - Rebuilt/Good,REBUILT_RECONSTRUCTED,,true,104,true
RH,Salvage Certificate - Rebuilt/Hardtop,REBUILT_RECONSTRUCTED,,true,8,true
RJ,UNMAPPED_SOURCE_CODE,OTHER_UNVERIFIED,,,4,false
RP,Salvage Certificate - Repaired/Reconstructed,REBUILT_RECONSTRUCTED,,true,174,true
RR,Salvage Certificate - Reconstructed/Rusty,REBUILT_RECONSTRUCTED,,true,91,true
RS,Salvage Certificate - Restorable/Salvage,SALVAGE,,true,2656,true
RT,Salvage Certificate - Rebuilt/Transmission,REBUILT_RECONSTRUCTED,MECHANICAL,true,332,true
RU,Salvage Certificate - Rusted/Unrepairable,SALVAGE,,true,18,true
RV,Salvage Certificate - Rebuilt/Valuable,REBUILT_RECONSTRUCTED,,true,5,true
RW,Salvage Certificate - Rebuilt/Wrecked,REBUILT_RECONSTRUCTED,,true,1,true
S1,Salvage Certificate,SALVAGE,,true,3094,true
S2,Salvage Certificate,SALVAGE,,true,374,true
SB,Salvage Certificate - Stolen/Back,SALVAGE,THEFT,true,211,true
SC,Salvage Certificate - Stolen/Claim,SALVAGE,THEFT,true,41643,true
SD,Salvage Certificate - Structural Damage,SALVAGE,STRUCTURAL_FRAME_UNIBODY,true,183,true
SE,UNMAPPED_SOURCE_CODE,OTHER_UNVERIFIED,,,1,false
SF,Salvage Certificate - Salvage Frame,SALVAGE,STRUCTURAL_FRAME_UNIBODY,true,8,true
SG,UNMAPPED_SOURCE_CODE,OTHER_UNVERIFIED,,,1,false
SH,Salvage Certificate - Structural/Hit,SALVAGE,STRUCTURAL_FRAME_UNIBODY,true,127,true
SI,UNMAPPED_SOURCE_CODE,OTHER_UNVERIFIED,,,1,false
SK,Salvage Certificate - Structural/Known,SALVAGE,STRUCTURAL_FRAME_UNIBODY,true,9,true
SL,Salvage Certificate - Stolen/Leased,SALVAGE,THEFT,true,2,true
SM,Salvage Certificate - Stolen/Missing,SALVAGE,THEFT,true,1130,true
SN,Salvage Certificate - Structural/Non-Repairable,NON_REPAIRABLE_PARTS_SCRAP,STRUCTURAL_FRAME_UNIBODY,true,2,true
SO,UNMAPPED_SOURCE_CODE,OTHER_UNVERIFIED,,,1,false
SP,Salvage Certificate - Structural/Parts,SALVAGE,STRUCTURAL_FRAME_UNIBODY,true,148,true
SQ,Salvage Certificate - Stolen/Quiet,SALVAGE,THEFT,true,111,true
SR,Salvage Certificate - Stolen/Recovered,SALVAGE,THEFT,true,714,true
SS,Salvage Certificate - Structural/Salvage,SALVAGE,STRUCTURAL_FRAME_UNIBODY,true,69,true
ST,Salvage Certificate - Stolen/Totally,SALVAGE,THEFT,true,38455,true
SV,Salvage Certificate - Salvage/Vehicle,SALVAGE,,true,8385,true
SW,Salvage Certificate - Structural/Welded,SALVAGE,STRUCTURAL_FRAME_UNIBODY,true,73,true
TA,Salvage Certificate - Theft/Auction,SALVAGE,THEFT,true,3,true
TB,Salvage Certificate - Theft/Broken,SALVAGE,THEFT,true,9,true
TC,Salvage Certificate - Theft/Collision,SALVAGE,THEFT,true,4,true
TE,Salvage Certificate - Theft/Engine,SALVAGE,THEFT|MECHANICAL,true,1,true
TH,Salvage Certificate - Theft/Hit,SALVAGE,THEFT,true,49,true
TL,Salvage Certificate - Theft/Lost,SALVAGE,THEFT,true,0,true
TR,Salvage Certificate - Theft/Recovered,SALVAGE,THEFT,true,7,true
TS,Salvage Certificate - Theft/Stolen,SALVAGE,THEFT,true,14,true
UC,Salvage Certificate - Uncertain,SALVAGE,STATE_VERIFICATION_REQUIRED,true,3,true
UL,Salvage Certificate - Uncertain/Lost,SALVAGE,STATE_VERIFICATION_REQUIRED,true,0,true
UN,Salvage Certificate - Uncertain/Not,SALVAGE,STATE_VERIFICATION_REQUIRED,true,1,true
UR,Salvage Certificate - Uncertain/Rebuilt,REBUILT_RECONSTRUCTED,STATE_VERIFICATION_REQUIRED,true,5,true
US,Salvage Certificate - Uncertain/Structural,SALVAGE,STRUCTURAL_FRAME_UNIBODY|STATE_VERIFICATION_REQUIRED,true,2,true
UT,Salvage Certificate - Uncertain/Theft,SALVAGE,THEFT|STATE_VERIFICATION_REQUIRED,true,2,true
VC,UNMAPPED_SOURCE_CODE,OTHER_UNVERIFIED,,,1,false
VD,Salvage Certificate - Vehicle/Destroyed,SALVAGE,,true,11,true
WD,Salvage Certificate - Water/Damaged,SALVAGE,WATER_FLOOD,true,0,true
WF,Salvage Certificate - Water/Flood,SALVAGE,WATER_FLOOD,true,38,true
WO,UNMAPPED_SOURCE_CODE,OTHER_UNVERIFIED,,,2,false
WS,Salvage Certificate - Water/Salvage,SALVAGE,WATER_FLOOD,true,5,true
WT,Salvage Certificate - Water/Total,SALVAGE,WATER_FLOOD,true,31,true
